,Year,fema_declaration_string,disaster_number,state,declaration_type,declaration_date,incident_type,declaration_title,ih_program_declared,ia_program_declared,pa_program_declared,hm_program_declared,incident_begin_date,incident_end_date,disaster_closeout_date,fips,place_code,designated_area,declaration_request_number,last_ia_filing_date,hash,last_refresh,id,Death toll,Damage costUS$,Main article,Location,Notes
60980,2021,EM-3554-TX,3554.0,TX,EM,2021-02-14T18:35:00Z,Severe Ice Storm,Severe Winter Storm,0.0,0.0,1.0,0.0,2021-02-11T11:25:28Z,2021-02-21T23:00:00Z,2021-05-14T23:59:00Z,48251.0,99251.0,Johnson (County),21009.0,,4ce6452afa8b271c99c35871462be731404c8915,2022-04-26T19:01:43Z,60c3b862a0ee349d710aeb53,,,,,
61013,2021,EM-3554-TX,3554.0,TX,EM,2021-02-14T18:35:00Z,Severe Ice Storm,Severe Winter Storm,0.0,0.0,1.0,0.0,2021-02-11T11:25:28Z,2021-02-21T23:00:00Z,2021-05-14T23:59:00Z,48333.0,99333.0,Mills (County),21009.0,,2d8ed6eda4eba4277edf90eb1778370fcc1e7049,2022-04-26T19:01:43Z,60c3b862a0ee349d710aec25,,,,,
60973,2021,EM-3554-TX,3554.0,TX,EM,2021-02-14T18:35:00Z,Severe Ice Storm,Severe Winter Storm,0.0,0.0,1.0,0.0,2021-02-11T11:25:28Z,2021-02-21T23:00:00Z,2021-05-14T23:59:00Z,48289.0,99289.0,Leon (County),21009.0,,23d576196178c4782b4f3203c20adcccffc18f5e,2022-04-26T19:01:43Z,60c3b862a0ee349d710aebb9,,,,,
60974,2021,EM-3554-TX,3554.0,TX,EM,2021-02-14T18:35:00Z,Severe Ice Storm,Severe Winter Storm,0.0,0.0,1.0,0.0,2021-02-11T11:25:28Z,2021-02-21T23:00:00Z,2021-05-14T23:59:00Z,48301.0,99301.0,Loving (County),21009.0,,3a056c594c3c3c099eeef00dc51e62870ce0d0df,2022-04-26T19:01:43Z,60c3b862a0ee349d710aebd4,,,,,
60975,2021,EM-3554-TX,3554.0,TX,EM,2021-02-14T18:35:00Z,Severe Ice Storm,Severe Winter Storm,0.0,0.0,1.0,0.0,2021-02-11T11:25:28Z,2021-02-21T23:00:00Z,2021-05-14T23:59:00Z,48267.0,99267.0,Kimble (County),21009.0,,7ac7bf1646a0cb0ab8fb3504c57f4789b9b0df8b,2022-04-26T19:01:43Z,60c3b862a0ee349d710aeb77,,,,,
60977,2021,EM-3554-TX,3554.0,TX,EM,2021-02-14T18:35:00Z,Severe Ice Storm,Severe Winter Storm,0.0,0.0,1.0,0.0,2021-02-11T11:25:28Z,2021-02-21T23:00:00Z,2021-05-14T23:59:00Z,48229.0,99229.0,Hudspeth (County),21009.0,,e859af53887c84acb26e66c387fa30b384c53357,2022-04-26T19:01:43Z,60c3b862a0ee349d710aeb3b,,,,,
60978,2021,EM-3554-TX,3554.0,TX,EM,2021-02-14T18:35:00Z,Severe Ice Storm,Severe Winter Storm,0.0,0.0,1.0,0.0,2021-02-11T11:25:28Z,2021-02-21T23:00:00Z,2021-05-14T23:59:00Z,48249.0,99249.0,Jim Wells (County),21009.0,,c840ee443fbb59d16089876629a44289aadecae0,2022-04-26T19:01:43Z,60c3b862a0ee349d710aeb4e,,,,,
60964,2021,EM-3554-TX,3554.0,TX,EM,2021-02-14T18:35:00Z,Severe Ice Storm,Severe Winter Storm,0.0,0.0,1.0,0.0,2021-02-11T11:25:28Z,2021-02-21T23:00:00Z,2021-05-14T23:59:00Z,48201.0,99201.0,Harris (County),21009.0,,b386a3689e2194b745d0d6d789d7b8be82826005,2022-04-26T19:01:43Z,60c3b862a0ee349d710aeaee,,,,,
60963,2021,EM-3554-TX,3554.0,TX,EM,2021-02-14T18:35:00Z,Severe Ice Storm,Severe Winter Storm,0.0,0.0,1.0,0.0,2021-02-11T11:25:28Z,2021-02-21T23:00:00Z,2021-05-14T23:59:00Z,48191.0,99191.0,Hall (County),21009.0,,960d62f22e81b53a199aaf7bd4deeef0ece7c474,2022-04-26T19:01:43Z,60c3b862a0ee349d710aeadb,,,,,
60962,2021,EM-3554-TX,3554.0,TX,EM,2021-02-14T18:35:00Z,Severe Ice Storm,Severe Winter Storm,0.0,0.0,1.0,0.0,2021-02-11T11:25:28Z,2021-02-21T23:00:00Z,2021-05-14T23:59:00Z,48183.0,99183.0,Gregg (County),21009.0,,99dcee8ca424332bcbae82eae742d3345c3aae22,2022-04-26T19:01:43Z,60c3b862a0ee349d710aeac7,,,,,
60961,2021,EM-3554-TX,3554.0,TX,EM,2021-02-14T18:35:00Z,Severe Ice Storm,Severe Winter Storm,0.0,0.0,1.0,0.0,2021-02-11T11:25:28Z,2021-02-21T23:00:00Z,2021-05-14T23:59:00Z,48211.0,99211.0,Hemphill (County),21009.0,,76c7f8f26b79990efe47165b14c580dcd9b9013c,2022-04-26T19:01:43Z,60c3b862a0ee349d710aeaff,,,,,
60960,2021,EM-3554-TX,3554.0,TX,EM,2021-02-14T18:35:00Z,Severe Ice Storm,Severe Winter Storm,0.0,0.0,1.0,0.0,2021-02-11T11:25:28Z,2021-02-21T23:00:00Z,2021-05-14T23:59:00Z,48213.0,99213.0,Henderson (County),21009.0,,6619e56165345d6deefefba2a07cc08835a23ed6,2022-04-26T19:01:43Z,60c3b862a0ee349d710aeb03,,,,,
60959,2021,EM-3554-TX,3554.0,TX,EM,2021-02-14T18:35:00Z,Severe Ice Storm,Severe Winter Storm,0.0,0.0,1.0,0.0,2021-02-11T11:25:28Z,2021-02-21T23:00:00Z,2021-05-14T23:59:00Z,48209.0,99209.0,Hays (County),21009.0,,0c33b3dd3cb907c615b15e0bf7e97d8e63a1b307,2022-04-26T19:01:43Z,60c3b862a0ee349d710aeafd,,,,,
60958,2021,EM-3554-TX,3554.0,TX,EM,2021-02-14T18:35:00Z,Severe Ice Storm,Severe Winter Storm,0.0,0.0,1.0,0.0,2021-02-11T11:25:28Z,2021-02-21T23:00:00Z,2021-05-14T23:59:00Z,48205.0,99205.0,Hartley (County),21009.0,,72e17d6ab6ffd78d503bbfbd491687734c363c67,2022-04-26T19:01:43Z,60c3b862a0ee349d710aeaf4,,,,,
60957,2021,EM-3554-TX,3554.0,TX,EM,2021-02-14T18:35:00Z,Severe Ice Storm,Severe Winter Storm,0.0,0.0,1.0,0.0,2021-02-11T11:25:28Z,2021-02-21T23:00:00Z,2021-05-14T23:59:00Z,48189.0,99189.0,Hale (County),21009.0,,fccdaba40a19d18c534b6d4042b16b3dffaf9b7c,2022-04-26T19:01:43Z,60c3b862a0ee349d710aead5,,,,,
60956,2021,EM-3554-TX,3554.0,TX,EM,2021-02-14T18:35:00Z,Severe Ice Storm,Severe Winter Storm,0.0,0.0,1.0,0.0,2021-02-11T11:25:28Z,2021-02-21T23:00:00Z,2021-05-14T23:59:00Z,48215.0,99215.0,Hidalgo (County),21009.0,,839d9798312c1e750bf756b0d1e8c81e97bbe738,2022-04-26T19:01:43Z,60c3b862a0ee349d710aeb07,,,,,
60955,2021,EM-3554-TX,3554.0,TX,EM,2021-02-14T18:35:00Z,Severe Ice Storm,Severe Winter Storm,0.0,0.0,1.0,0.0,2021-02-11T11:25:28Z,2021-02-21T23:00:00Z,2021-05-14T23:59:00Z,48231.0,99231.0,Hunt (County),21009.0,,2fa08a32059a677e670c75c70fb3511e466734c3,2022-04-26T19:01:43Z,60c3b862a0ee349d710aeb27,,,,,
60954,2021,EM-3554-TX,3554.0,TX,EM,2021-02-14T18:35:00Z,Severe Ice Storm,Severe Winter Storm,0.0,0.0,1.0,0.0,2021-02-11T11:25:28Z,2021-02-21T23:00:00Z,2021-05-14T23:59:00Z,48195.0,99195.0,Hansford (County),21009.0,,0cc2f951ef5fae6c875bdaa5649ae73db66a2040,2022-04-26T19:01:43Z,60c3b862a0ee349d710aeae2,,,,,
60953,2021,EM-3554-TX,3554.0,TX,EM,2021-02-14T18:35:00Z,Severe Ice Storm,Severe Winter Storm,0.0,0.0,1.0,0.0,2021-02-11T11:25:28Z,2021-02-21T23:00:00Z,2021-05-14T23:59:00Z,48217.0,99217.0,Hill (County),21009.0,,1121273cd5b5dc88dfd966eab5dd5b54ff6062d9,2022-04-26T19:01:43Z,60c3b862a0ee349d710aeb0e,,,,,
60952,2021,EM-3554-TX,3554.0,TX,EM,2021-02-14T18:35:00Z,Severe Ice Storm,Severe Winter Storm,0.0,0.0,1.0,0.0,2021-02-11T11:25:28Z,2021-02-21T23:00:00Z,2021-05-14T23:59:00Z,48207.0,99207.0,Haskell (County),21009.0,,9d4fc009a8c30893848fe1548a082dba85da8f92,2022-04-26T19:01:43Z,60c3b862a0ee349d710aeaf8,,,,,
60951,2021,EM-3554-TX,3554.0,TX,EM,2021-02-14T18:35:00Z,Severe Ice Storm,Severe Winter Storm,0.0,0.0,1.0,0.0,2021-02-11T11:25:28Z,2021-02-21T23:00:00Z,2021-05-14T23:59:00Z,48181.0,99181.0,Grayson (County),21009.0,,33c723a784e127ca85edb2109fcd339b654c1798,2022-04-26T19:01:43Z,60c3b862a0ee349d710aeac2,,,,,
60950,2021,EM-3554-TX,3554.0,TX,EM,2021-02-14T18:35:00Z,Severe Ice Storm,Severe Winter Storm,0.0,0.0,1.0,0.0,2021-02-11T11:25:28Z,2021-02-21T23:00:00Z,2021-05-14T23:59:00Z,48227.0,99227.0,Howard (County),21009.0,,218a24e97b13b91b107660e56299bee044ae0627,2022-04-26T19:01:43Z,60c3b862a0ee349d710aeb1d,,,,,
60949,2021,EM-3554-TX,3554.0,TX,EM,2021-02-14T18:35:00Z,Severe Ice Storm,Severe Winter Storm,0.0,0.0,1.0,0.0,2021-02-11T11:25:28Z,2021-02-21T23:00:00Z,2021-05-14T23:59:00Z,48225.0,99225.0,Houston (County),21009.0,,edfcb8a197ff3d4019caba0314f691557159f501,2022-04-26T19:01:43Z,60c3b862a0ee349d710aeb1a,,,,,
60948,2021,EM-3554-TX,3554.0,TX,EM,2021-02-14T18:35:00Z,Severe Ice Storm,Severe Winter Storm,0.0,0.0,1.0,0.0,2021-02-11T11:25:28Z,2021-02-21T23:00:00Z,2021-05-14T23:59:00Z,48203.0,99203.0,Harrison (County),21009.0,,173e56f27e8cd144ccc01c688eeddb3cb19c5787,2022-04-26T19:01:43Z,60c3b862a0ee349d710aeaf1,,,,,
60979,2021,EM-3554-TX,3554.0,TX,EM,2021-02-14T18:35:00Z,Severe Ice Storm,Severe Winter Storm,0.0,0.0,1.0,0.0,2021-02-11T11:25:28Z,2021-02-21T23:00:00Z,2021-05-14T23:59:00Z,48257.0,99257.0,Kaufman (County),21009.0,,1b0d05606f92c62d7f6af0a79dcdbeb514dfe95b,2022-04-26T19:01:43Z,60c3b862a0ee349d710aeb65,,,,,
