Year,incident_type,Death toll,Damage costUS$,Main article,state,Notes
1940,Blizzard,154,2000000,Armistice Day Blizzard,MT,Damage total not adjusted for inflation.
1938,Hurricane,600,,Great New England Hurricane,,
1938,Flood,115,,Los Angeles Flood of 1938,CA,
1937,Flood,385,500000,Ohio River flood of 1937,OH,
1936,Flood,69,250000000,Pittsburgh Flood 1936,PA,
1935,Hurricane,423,,Labor Day Hurricane of 1935,FL,
1931 to 1939,Drought,Unknown,1000000,Dust Bowl,NE,Compounded by unsustainable agricultural techniques
1928,Hurricane,3000,800000000,1928 Okeechobee Hurricane,FL,"4,078+ believed dead total.  About 2,500 died in Florida and 500 in the U.S. possession of Puerto Rico."
1927,Flood,246,400000000,Great Mississippi Flood of 1927,KY,
1926,Tornado,16,,La Plata Tornado of 1926,MD,13 killed in La Plata Elementary School
1925,Tornado,727,16500000,Tri-State Tornado,MO,Lower number for single 3-state tornado; higher for 5-state outbreak
1919,Hurricane,600,,1919 Florida Keys Hurricane,TX,
1918,Wildfire,453,73000000,1918 Cloquet fire,MN,Largest disaster in Minnesota history
1913,Flood,428,,1913 (Ohio) Statewide Flood,OH,
1913,Flood,361,,Great Dayton Flood,OH,"Flood was created by a series of three winter storms that hit the region in March, 1913"
1913,Blizzard,250,,Great Lakes Storm of 1913,,Fatalities estimated
1913,Storm,250,5000000,Great Lakes Storm of 1913,MI,Financial impact for lost vessels and cargo only
1910,Avalanche,96,,Wellington avalanche,WA,
1906,Earthquake and fire (urban conflagration),6000,,1906 San Francisco earthquake,CA,Conflagration followed quake; fatalities estimated
1900,Hurricane,12000,35400000,Galveston Hurricane of 1900,TX,Fatalities estimated – remains deadliest natural disaster in North American history.
1896,Tornado,400,10000000,St. Louis-East St. Louis tornado,MO,
1894,Wildfire,418,73000000,Great Hinckley Fire,MN,Actual death toll likely higher than official death toll of 418.
1893,Hurricane,2000,,1893 Cheniere Caminada Hurricane,LA,Fatalities estimated
1893,Hurricane,2000,,1893 Sea Islands Hurricane,SC,Fatalities estimated
1889,Flood,2209,17000000,Johnstown Flood,PA,"A dam failure caused 20 million tons of water to be unleashed, devastating Johnstown, PA and the surrounding area."
1888,Blizzard,400,,Great Blizzard of 1888,NJ,Fatalities estimated
1888,Cold wave,Unknown,,1888 Northwest Cold Wave,OH,
1871,Wildfire,2500,,Peshtigo fire,WI,Deadliest firestorm in United States history
1862,Flood,5000,100000000,Great Flood of 1862,CA,"An atmospheric river led to 43 continuous days of rain, lasting from December 1861 until January 1862. When it was over, much of California's Central Valley was covered with inland seas that remained for months; the state's government had to move to San Francisco as Sacramento was under 10 feet of water. California nearly went bankrupt due to the costs of the damages and the loss of tax revenues from so many farms and mines; it is considered to be the worst disaster in the state's history.[48]"
1816,Famine (caused by volcano),Unknown,,Year Without a Summer,,"Volcanic dust from a massive eruption by Mount Tambora in the Dutch East Indies (present Indonesia) in 1815 led to an abnormally cold summer in 1816 in the northeastern United States and eastern Canada. Cold weather inhibited crops, and frosts and snowstorms killed what did grow, leading to a localized famine."
